Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP,Normalization_Changed
TOTAL,121,272,France,TOTAL,False
SAMPLE ACCOUNT,105,185,,SAMPLE ACCOUNT,False
ADJUSTMENT,94,202,England,ADJUSTMENT,False
FASTENAL,94,178,United States Of America,FASTENAL,False
PARKER HANNIFIN,87,151,United States Of America,PARKER HANNIFIN,False
Linde,76,145,Ireland,LINDE,False
BODYCOTE,70,131,England,BODYCOTE,False
EATON,66,133,United States Of America,EATON,False
PENINSULAR DE LUBRICANTES,65,70,Spain,PENINSULAR DE LUBRICANTES,False
DANFOSS,50,100,Denmark,DANFOSS,False
3S MUHENDISLIK,48,72,Turkey,3S MUHENDISLIK,False
TIMKEN,48,104,United States Of America,TIMKEN,False
SWAGELOK,46,85,United States Of America,SWAGELOK,False
BOSCH,39,68,Germany,BOSCH,False
ABB,38,71,Switzerland,ABB,False
GENERAL ELECTRIC,37,68,United States Of America,GENERAL ELECTRIC,False
ARCONIC,34,73,United States Of America,ARCONIC,False
DA STUART INDIA,30,47,India,DA STUART INDIA,False
Top Side Adjustment,29,29,Poland,TOP SIDE ADJUSTMENT,False
SIEMENS,28,52,Germany,SIEMENS,False
VOITH,25,41,Germany,VOITH,False
WEG INDUSTRIES,24,47,Brazil,WEG INDUSTRIES,False
XAMER METALWORKING,24,25,Spain,XAMER METALWORKING,False
BEKAERT,22,55,Belgium,BEKAERT,False
FLOWSERVE CORPORATION,22,40,United States Of America,FLOWSERVE,True
KENNAMETAL,22,52,United States Of America,KENNAMETAL,False
SANDVIK,22,39,Sweden,SANDVIK,False
TYSON FOODS,22,86,United States Of America,TYSON FOODS,False
C&U GROUP,20,54,China,C U GROUP,True
HNI GLOBAL,20,36,United States Of America,HNI GLOBAL,False
HONEYWELL,20,40,United States Of America,HONEYWELL,False
SFS INTEC,20,36,Switzerland,SFS INTEC,False
GENUINE PARTS,19,42,United States Of America,GENUINE PARTS,False
RANEWS COMPANIES,19,35,United States Of America,RANEWS COMPANIES,False
STANLEY BLACK and DECKER,19,38,United States Of America,STANLEY BLACK AND DECKER,False
ALTERNATIVES FOR INDUSTRY INC,18,34,United States Of America,ALTERNATIVES FOR INDUSTRY,True
AGES HÖRLE AB,17,21,Sweden,AGES HORLE AB,True
ALSTOM,17,41,France,ALSTOM,False
SAINT GOBAIN,17,31,France,SAINT GOBAIN,False
KAPP NILES,16,28,Germany,KAPP NILES,False
PENTAIR,16,26,United States Of America,PENTAIR,False
SMV VERKTYG,16,16,Sweden,SMV VERKTYG,False
HYDAC,15,31,Germany,HYDAC,False
SUMITOMO,15,27,Japan,SUMITOMO,False
BIC,14,20,France,BIC,False
FRAMATOME,14,19,France,FRAMATOME,False
INTERNATIONAL ALUMINUM CASTING,14,15,United States Of America,INTERNATIONAL ALUMINUM CASTING,False
MOLEX INC,14,25,United States Of America,MOLEX,True
REGAL BELOIT,14,24,United States Of America,REGAL BELOIT,False
SAPA,14,30,Norway,SAPA,False
DEUTSCHE BAHN,13,25,Germany,DEUTSCHE BAHN,False
GROB WERKE,13,25,Germany,GROB WERKE,False
MOTION INDUSTRIES,13,27,United States Of America,MOTION INDUSTRIES,False
POCLAIN HYDRAULICS,13,20,France,POCLAIN HYDRAULICS,False
US TOOL GROUP,13,23,United States Of America,US TOOL GROUP,False
VALMET,13,20,Finland,VALMET,False
