Entity_ID,Representative,Members,Number_of_Variants,Ship_To_Count,Row_Count,Countries,Any_Normalization_Changed
E000562,TOTAL,TOTAL,,121,272,France,
E000563,SAMPLE ACCOUNT,SAMPLE ACCOUNT,,105,185,,
E000564,ADJUSTMENT,ADJUSTMENT,,94,202,England,
E000565,FASTENAL,FASTENAL,,94,178,United States Of America,
E000566,PARKER HANNIFIN,PARKER HANNIFIN,,87,151,United States Of America,
E000567,LINDE,Linde,,76,145,Ireland,
E000568,BODYCOTE,BODYCOTE,,70,131,England,
E000569,EATON,EATON,,66,133,United States Of America,
E000570,PENINSULAR DE LUBRICANTES,PENINSULAR DE LUBRICANTES,,65,70,Spain,
E000571,DANFOSS,DANFOSS,,50,100,Denmark,
E000572,3S MUHENDISLIK,3S MUHENDISLIK,,48,72,Turkey,
E000573,TIMKEN,TIMKEN,,48,104,United States Of America,
E000574,SWAGELOK,SWAGELOK,,46,85,United States Of America,
E000575,BOSCH,BOSCH,,39,68,Germany,
E000576,ABB,ABB,,38,71,Switzerland,
E000577,GENERAL ELECTRIC,GENERAL ELECTRIC,,37,68,United States Of America,
E000578,ARCONIC,ARCONIC,,34,73,United States Of America,
E000579,DA STUART INDIA,DA STUART INDIA,,30,47,India,
E000580,TOP SIDE ADJUSTMENT,Top Side Adjustment,,29,29,Poland,
E000581,SIEMENS,SIEMENS,,28,52,Germany,
E000582,VOITH,VOITH,,25,41,Germany,
E000584,XAMER METALWORKING,XAMER METALWORKING,,24,25,Spain,
E000583,WEG INDUSTRIES,WEG INDUSTRIES,,24,47,Brazil,
E000586,FLOWSERVE,FLOWSERVE CORPORATION,,22,40,United States Of America,
E000587,KENNAMETAL,KENNAMETAL,,22,52,United States Of America,
E000588,SANDVIK,SANDVIK,,22,39,Sweden,
E000589,TYSON FOODS,TYSON FOODS,,22,86,United States Of America,
E000585,BEKAERT,BEKAERT,,22,55,Belgium,
E000593,SFS INTEC,SFS INTEC,,20,36,Switzerland,
E000592,HONEYWELL,HONEYWELL,,20,40,United States Of America,
E000590,C U GROUP,C&U GROUP,,20,54,China,
E000591,HNI GLOBAL,HNI GLOBAL,,20,36,United States Of America,
E000001,GENUINE PARTS,GENUINE PARTS | GENUINE PARTS COMPANY,2.0,20,43,United States Of America,True
E000595,STANLEY BLACK AND DECKER,STANLEY BLACK and DECKER,,19,38,United States Of America,
E000594,RANEWS COMPANIES,RANEWS COMPANIES,,19,35,United States Of America,
E000596,ALTERNATIVES FOR INDUSTRY,ALTERNATIVES FOR INDUSTRY INC,,18,34,United States Of America,
E000002,PENTAIR,PENTAIR | Pentair,2.0,17,27,United States Of America,False
E000597,AGES HORLE AB,AGES HÖRLE AB,,17,21,Sweden,
