Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E000630,BRIGGS STRATTON,Briggs & Stratton,United States Of America,11,E005707,BRIGGS AND STRATTON,BRIGGS AND STRATTON,United States Of America,1,High,34,88.2,75.0,88.2,100.0,12
E001061,PRECISION COMPONENTS,PRECISION COMPONENTS,United States Of America,4,E001515,PRECISION COMPONENTS INT,PRECISION COMPONENTS INT INC,United States Of America,3,High,44,90.9,100.0,90.9,100.0,7
E000886,SECO TOOLS,SECO TOOLS,Sweden,5,E003555,SECO TOOLS AB,SECO TOOLS AB,Sweden,2,High,23,87.0,100.0,87.0,100.0,7
E000030,SINGLE SOURCE TECHNOLOGIES,SINGLE SOURCE TECHNOLOGIES | Single Source Technologies,United States Of America,6,E015571,SINGLE SOURCE TECNOLOGIES,SINGLE SOURCE TECNOLOGIES,United States Of America,1,High,51,98.0,96.0,98.0,98.0,7
E000048,INDUSTRIAL TOOLING AND SUPPLY,Industrial Tooling and Supply | INDUSTRIAL TOOLING AND SUPPLY,United States Of America,5,E010065,INDUSTRIAL TOOLING SUPPLY,INDUSTRIAL TOOLING SUPPLY,United States Of America,1,High,54,92.6,86.4,92.6,100.0,6
E000051,QUALITY TOOLS SERVICES,QUALITY TOOLS & SERVICES INC | QUALITY TOOLS & SERVICES,United States Of America,5,E014382,QUALITY TOOLS AND SERVICES,QUALITY TOOLS AND SERVICES,United States Of America,1,High,48,91.7,81.8,91.7,100.0,6
E001061,PRECISION COMPONENTS,PRECISION COMPONENTS,United States Of America,4,E003257,PACE PRECISION COMPONENTS,PACE PRECISION COMPONENTS,Thailand,2,High,45,88.9,100.0,88.9,100.0,6
E000828,ENTRUST MANUFACTURING TECHNOLOGIES,ENTRUST MANUFACTURING TECHNOLOGIES,United States Of America,5,E011812,MANUFACTURING TECHNOLOGIES,MANUFACTURING TECHNOLOGIES INC,United States Of America,1,High,60,86.7,100.0,86.7,100.0,6
E001070,RJC MANUFACTURING SERVICES,RJC MANUFACTURING SERVICES,United States Of America,4,E011810,MANUFACTURING SERVICES,MANUFACTURING SERVICES,United States Of America,1,High,48,91.7,100.0,91.7,100.0,5
E001061,PRECISION COMPONENTS,PRECISION COMPONENTS,United States Of America,4,E014725,RING PRECISION COMPONENTS,RING PRECISION COMPONENTS,United States Of America,1,High,45,88.9,100.0,88.9,100.0,5
E000195,TRATTAMENTI TERMICI,TRATTAMENTI TERMICI | TRATTAMENTI TERMICI SRL,Italy,3,E002041,C T B TRATTAMENTI TERMICI,C T B TRATTAMENTI TERMICI,Italy,2,High,44,86.4,100.0,86.4,100.0,5
E000162,MYERS PRECISION GRINDING,MYERS PRECISION GRINDING | MYERS PRECISION GRINDING CO,United States Of America,3,E000436,PRECISION GRINDING,PRECISION GRINDING | Precision Grinding,United States Of America,2,High,42,85.7,100.0,85.7,100.0,5
E001061,PRECISION COMPONENTS,PRECISION COMPONENTS,United States Of America,4,E007054,DAWSON PRECISION COMPONENTS,DAWSON PRECISION COMPONENTS,United Kingdom,1,High,47,85.1,100.0,85.1,100.0,5
E002150,COLOMBO GIUSEPPE DI CARLO FIGLI,COLOMBO GIUSEPPE DI CARLO & FIGLI,,2,E002151,COLOMBO GIUSEPPE DI CARLO AND FIGLI,COLOMBO GIUSEPPE DI CARLO AND FIGLI,Italy,2,High,66,93.9,91.2,93.9,100.0,4
E001180,BEVEGO BYGGPLAT VENTILATION,BEVEGO BYGGPLÅT & VENTILATION,Sweden,3,E005473,BEVEGO BYGGPLAT AND VENTILATION,BEVEGO BYGGPLAT AND VENTILATION,Sweden,1,High,58,93.1,85.2,93.1,100.0,4
E001152,AMERICAN STRUCTURE AND DESIGN,AMERICAN STRUCTURE AND DESIGN,United States Of America,3,E004664,AMERICAN STRUCTURE DESIGN,AMERICAN STRUCTURE & DESIGN,,1,High,54,92.6,87.0,92.6,100.0,4
E000097,PEAK ANALYSIS AUTOMATION,PEAK ANALYSIS AUTOMATION | Peak Analysis Automation | Peak Analysis Automation Inc,United States Of America,3,E014283,PEAK ANALYSIS AND AUTOMATION,Peak Analysis and Automation,United States Of America,1,High,52,92.3,83.3,92.3,100.0,4
E000092,FIRST METALS AND PLASTICS,FIRST METALS AND PLASTICS | FIRST METALS AND PLASTICS INC | First Metals and Plastics Inc,United States Of America,3,E008635,FIRST METALS AND PLASTICS TECH,First Metals AND Plastics Tech,United States Of America,1,High,55,90.9,100.0,90.9,100.0,4
E001440,MECANIZADOS TER,MECANIZADOS TER,Spain,3,E012083,MECANIZADOS TER SL,MECANIZADOS TER SL,Spain,1,High,33,90.9,100.0,90.9,100.0,4
