GP,Candidate,Score,Decision
BRIAN LOWE,LOWE BRIAN,100,BRIAN LOWE
C R,R C,100,
DISTRIBUTION FASCOR INC,FASCOR DISTRIBUTION INC,100,DISTRIBUTION FASCOR INC
E P S,S E P,100,
GRANITE FLUID POWER,GRANITE POWER FLUID,100,GRANITE FLUID POWER
HEAT TREATMENT SHENGXING,SHENGXING HEAT TREATMENT,100,HEAT TREATMENT SHENGXING
MULLEN MARK,MARK MULLEN,100,MULLEN MARK
O RI DI ALTINI ANNAMARIA E C SAS,ORI DI ALTINI ANNAMARIA E C SAS,98.41269841,O RI DI ALTINI ANNAMARIA E C SAS
BISON METAL TECHNOLOGIES,BISON METALS TECHNOLOGIES,97.95918367,BISON METAL TECHNOLOGIES
DAUPHIN PRECISION TOOLS,DAUPHIN PRECISION TOOL,97.77777778,DAUPHIN PRECISION TOOLS
THAI INDUCTION SERVICE,THAI INDUCTIONS SERVICE,97.77777778,THAI INDUCTION SERVICE
CARTER MANUFACTURING,CHARTER MANUFACTURING,97.56097561,CARTER MANUFACTURING
APEX METAL PRODUCTS,AMPEX METAL PRODUCTS,97.43589744,
PRESTIGE WAREHOUSES,PRESTIGE WAREHOUSE,97.2972973,PRESTIGE WAREHOUSES
IWIS DRIVE SYSTEMS,IWIS DRIVE SYSTEM,97.14285714,IWIS DRIVE SYSTEMS
A B METAL CASTERS,AB METAL CASTERS,96.96969697,
MAYERI INDUSTRIES,MAYER INDUSTRIES,96.96969697,
MC MANUFACTURING,MKC MANUFACTURING,96.96969697,
MC3 MANUFACTURING,MC MANUFACTURING,96.96969697,
DEAN S ANODIZING,DEANS ANODIZING,96.77419355,
L AND M FABRICATION AND MACHINE,I AND M MACHINE AND FABRICATION,96.77419355,
PIEDRAS MACHINE,PIEDRA S MACHINE,96.77419355,
ISHIKAWA KOSAN,ISHIKAWA KOUSAN,96.55172414,
METALLRYCKNING,METALLTRYCKNING,96.55172414,
TE CONNECTIVITY,TE CONNECTIVIY,96.55172414,
AK INDUSTRIES,ACK INDUSTRIES,96.2962963,
ARI INDUSTRIES,AI INDUSTRIES,96.2962963,
EUROMETAL SRL,EURO METAL SRL,96.2962963,
LEMVIGH MULLER,LEMVIGHMULLER,96.2962963,
LS INDUSTRIES,LES INDUSTRIES,96.2962963,
METALMECANICA,METALMECCANICA,96.2962963,
ALM PRODUCTS,ALMA PRODUCTS,96,
CASH ACCOUNT,CASH ACCOUNTS,96,
ENTEC STRACON,ENTECSTRACON,96,
J2P INDUSTRIE,JP INDUSTRIE,96,
TIPPMANN ARMS,TIPPMAN ARMS,96,
SUZHOU MINGQING MACHINERY ELECTRON,SUZHOU MINGQING MACHINERY ELECTRONICS,95.77464789,
CENTRAL TOOL ROOM TRAINING CENTRE,CENTRAL TOOL ROOM TRAINING CENTRE MW,95.65217391,
KANTO BUSSAN,KANTO BUSAN,95.65217391,
MAB USINAGEM,MB USINAGEM,95.65217391,
E AND R POWDER COATING,R AND L POWDER COATING,95.45454545,
CERTA SZERSZAMKESZITO ES ALKATRESZGYARTO,CERTA SZERSZAMKESZITO ES ALKATRESZGYARTO KFT,95.23809524,
HARRISON MANUFACTURING,HARRIS MANUFACTURING,95.23809524,
PETERS HEAT TREATING,PETERSON HEAT TREATING,95.23809524,
SHERDIL PRECISION INC,SHERDIL PREVISION INC,95.23809524,
YING MING INDUSTRIAL,WING YING INDUSTRIAL,95,
BLAST TECH,BLASTTECH,94.73684211,
CAP GROUP,CAPI GROUP,94.73684211,
DYNAMIQ ENGINEERING,DYNAMIC ENGINEERING,94.73684211,
EK MACHINE,K MACHINE,94.73684211,
KL STEVEN,K L STEVEN,94.73684211,
METALTECH,METAL TECH,94.73684211,
MUMING ENVIRONMENTAL,MUMIN ENIRONMENTAL,94.73684211,
NEWCO MANUFACTURING,NEWCO MANUFACTORING,94.73684211,
SMART WOOD,SMARTWOOD,94.73684211,
SUMSON SUMINISTROS Y SERVICIOS ELECTROME,SUMSON SUMINISTROS Y SERVICIOS ELECT,94.73684211,
B AND B MULTIFLUID DI BONISTALLI FABIO,B B MULTIFLUID DI BONISTALLI FABIO,94.44444444,
BAKER MANUFACTURING,AER MANUFACTURING,94.44444444,
DESIGN ENTERPRIZES,DESIGN ENTERPRISES,94.44444444,
GH METAL SOLUTIONS,AH METAL SOLUTIONS,94.44444444,
K AND B INDUSTRIES,B AND R INDUSTRIES,94.44444444,
PMF INDUSTRIES INC,MCF INDUSTRIES INC,94.44444444,
SAE MANUFACTURING,MANUFACTURING SALES,94.44444444,
CENTRAL TOOL ROOM AND TRAINING CENTRE,CENTRAL TOOL ROOM TRAINING CENTRE,94.28571429,
ALTEC ENGINEERING,ARTEC ENGINEERING,94.11764706,
