Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
TOTAL,121,272,France,TOTAL
SAMPLE ACCOUNT,105,185,,SAMPLE ACCOUNT
ADJUSTMENT,94,202,England,ADJUSTMENT
FASTENAL,94,178,United States Of America,FASTENAL
PARKER HANNIFIN,87,151,United States Of America,PARKER HANNIFIN
Linde,76,145,Ireland,LINDE
BODYCOTE,70,131,England,BODYCOTE
EATON,66,133,United States Of America,EATON
PENINSULAR DE LUBRICANTES,65,70,Spain,PENINSULAR DE LUBRICANTES
DANFOSS,50,100,Denmark,DANFOSS
3S MUHENDISLIK,48,72,Turkey,3S MUHENDISLIK
TIMKEN,48,104,United States Of America,TIMKEN
SWAGELOK,46,85,United States Of America,SWAGELOK
BOSCH,39,68,Germany,BOSCH
ABB,38,71,Switzerland,ABB
GENERAL ELECTRIC,37,68,United States Of America,GENERAL ELECTRIC
ARCONIC,34,73,United States Of America,ARCONIC
DA STUART INDIA,30,47,India,DA STUART INDIA
Top Side Adjustment,29,29,Poland,TOP SIDE ADJUSTMENT
SIEMENS,28,52,Germany,SIEMENS
VOITH,25,41,Germany,VOITH
WEG INDUSTRIES,24,47,Brazil,WEG INDUSTRIES
XAMER METALWORKING,24,25,Spain,XAMER METALWORKING
BEKAERT,22,55,Belgium,BEKAERT
FLOWSERVE CORPORATION,22,40,United States Of America,FLOWSERVE
KENNAMETAL,22,52,United States Of America,KENNAMETAL
SANDVIK,22,39,Sweden,SANDVIK
TYSON FOODS,22,86,United States Of America,TYSON FOODS
C&U GROUP,20,54,China,C U GROUP
HNI GLOBAL,20,36,United States Of America,HNI GLOBAL
HONEYWELL,20,40,United States Of America,HONEYWELL
SFS INTEC,20,36,Switzerland,SFS INTEC
GENUINE PARTS,19,42,United States Of America,GENUINE PARTS
RANEWS COMPANIES,19,35,United States Of America,RANEWS COMPANIES
STANLEY BLACK and DECKER,19,38,United States Of America,STANLEY BLACK AND DECKER
ALTERNATIVES FOR INDUSTRY INC,18,34,United States Of America,ALTERNATIVES FOR INDUSTRY
AGES HÖRLE AB,17,21,Sweden,AGES HORLE AB
ALSTOM,17,41,France,ALSTOM
SAINT GOBAIN,17,31,France,SAINT GOBAIN
KAPP NILES,16,28,Germany,KAPP NILES
PENTAIR,16,26,United States Of America,PENTAIR
SMV VERKTYG,16,16,Sweden,SMV VERKTYG
HYDAC,15,31,Germany,HYDAC
SUMITOMO,15,27,Japan,SUMITOMO
BIC,14,20,France,BIC
FRAMATOME,14,19,France,FRAMATOME
INTERNATIONAL ALUMINUM CASTING,14,15,United States Of America,INTERNATIONAL ALUMINUM CASTING
MOLEX INC,14,25,United States Of America,MOLEX
REGAL BELOIT,14,24,United States Of America,REGAL BELOIT
SAPA,14,30,Norway,SAPA
DEUTSCHE BAHN,13,25,Germany,DEUTSCHE BAHN
GROB WERKE,13,25,Germany,GROB WERKE
MOTION INDUSTRIES,13,27,United States Of America,MOTION INDUSTRIES
POCLAIN HYDRAULICS,13,20,France,POCLAIN HYDRAULICS
US TOOL GROUP,13,23,United States Of America,US TOOL GROUP
VALMET,13,20,Finland,VALMET
ANDRITZ,12,19,Austria,ANDRITZ
ATI METALS,12,27,United States Of America,ATI METALS
BAKER HUGHES,12,18,,BAKER HUGHES
BELLOTA,12,22,Spain,BELLOTA
DANOBAT,12,14,Spain,DANOBAT
GNUTTI CARLO,12,17,United States Of America,GNUTTI CARLO
MGF TRENCH CONSTRUCTION SYSTEM,12,24,England,MGF TRENCH CONSTRUCTION SYSTEM
Minebea Mitsumi,12,20,Japan,MINEBEA MITSUMI
NIDEC,12,20,Japan,NIDEC
Nexteer Automotive,12,18,United States Of America,NEXTEER AUTOMOTIVE
SPECTRUM BRANDS,12,22,United States Of America,SPECTRUM BRANDS
