Normalized_GP,Variants,Number_of_Variants,Total_Ship_To_Count,Total_Row_Count,Countries,Any_Normalization_Changed
GENUINE PARTS,"['GENUINE PARTS', 'GENUINE PARTS COMPANY']",2,20,43,['United States Of America'],True
PENTAIR,"['PENTAIR', 'Pentair']",2,17,27,['United States Of America'],False
MOLEX,"['MOLEX INC', 'MOLEX']",2,16,27,['United States Of America'],True
TENNECO,"['TENNECO', 'Tenneco']",2,12,20,['United States Of America'],False
ALFA LAVAL,"['ALFA LAVAL', 'ALFA LAVAL INC']",2,11,21,['Sweden'],True
JOHNSON CONTROLS,"['JOHNSON CONTROLS INC', 'Johnson Controls']",2,10,23,['United States Of America'],True
KAMAN,"['Kaman Corporation', 'KAMAN']",2,10,19,['United States Of America'],True
SCHAEFFLER,"['SCHAEFFLER', 'Schaeffler']",2,10,16,['Germany'],False
CONDO,"['CONDO', 'CONDO INC', 'Condo Inc']",3,9,11,['United States Of America'],True
MECALUX,"['MECALUX', 'MECALUX SA']",2,9,18,['Spain'],True
REIFENHAUSER GROUP,"['REIFENHAUSER GROUP', 'REIFENHÄUSER GROUP']",2,9,14,['Germany'],True
RHI MAGNESITA,"['RHI MAGNESITA', 'RHI Magnesita']",2,9,12,['Austria'],False
STELLANTIS,"['STELLANTIS', 'Stellantis']",2,9,13,['Netherlands'],False
ARIEL,"['ARIEL CORPORATION', 'ARIEL CORP', 'Ariel Corporation']",3,8,14,['United States Of America'],True
EMAG,"['EMAG', 'EMAG LLC']",2,8,13,['Germany'],True
ROLLER BEARING,"['ROLLER BEARING', 'ROLLER BEARING COMPANY']",2,8,12,['United States Of America'],True
SUPERIOR DIE TOOL AND MACHINE,"['SUPERIOR DIE TOOL and MACHINE CO', 'SUPERIOR DIE TOOL AND MACHINE', 'Superior Die Tool and Machine', 'Superior Die Tool and Machine Co']",4,7,11,['United States Of America'],True
TRANSOR FILTER,"['TRANSOR FILTER', 'TRANSOR Filter', 'Transor Filter']",3,7,11,['United States Of America'],False
CARDINAL SCALE MFG,"['CARDINAL SCALE MFG', 'CARDINAL SCALE MFG CO']",2,7,9,['United States Of America'],True
VALLEN,"['Vallen', 'VALLEN']",2,7,12,['United States Of America'],False
WHITE DRIVE MOTORS,"['WHITE DRIVE MOTORS', 'White Drive Motors']",2,7,9,['United States Of America'],False
YOKOGAWA,"['YOKOGAWA', 'Yokogawa Corporation']",2,7,12,"['Japan', 'United States Of America']",True
